id,category,author,year,title_raw,title,journal_series,volume,pages,cite_Sasson,cite_Smith,cite_Gross,boundary,id_type,identifier,confidence,status,notes
F-01-011,Jephthah (10:6-12:7),"Fuchs, Esther",1989,"Fuchs, Esther, Marginalization, Ambiguity, Silencing. The story of Jephthah's da","Marginalization, Ambiguity, Silencing: The Story of Jephthah's Daughter",Journal of Feminist Studies in Religion,5/1,,,,X,off-list,journal-ref,JFSR 5/1 (1989),A,RESOLVED,연도정정: xlsx/Groß원본 '1982'→'1989'(WebSearch로 JFSR 5/1(1989) 확인). bib_sasson도 1989로 일치.
F-01-012,Jephthah (10:6-12:7),"Herr, Larry G.",1999,"- The Ammonites in the Late Iron Age and Persian Period, in: B. MacDonald/R. W.",The Ammonites in the Late Iron Age and Persian Period,"in: B. MacDonald/R.W. Younker (eds.), Ancient Ammon",,219-237,,,X,off-list,book-chapter,"Leiden: Brill, 1999, 219-237",A,RESOLVED,WebSearch로 편자·출판사·쪽수(219-237) 확인.
F-01-013,Jephthah (10:6-12:7),"Humphreys, W. Lee",1989,"Humphreys, W. Lee, The Story of Jephthah and the Tragic Vision. A Response to J.",The Story of Jephthah and the Tragic Vision: A Response to J. Cheryl Exum,"in: J. Cheryl Exum (ed.), Signs and Wonders: Biblical Texts in Literary Focus",,85-96,,,X,off-list,book-chapter,"Atlanta: Scholars Press, 1989, 85-96",A,RESOLVED,"WebSearch로 수록서·쪽수 확인 (Exum 1989 논문에 대한 응답 논문, 같은 논총 수록)."
F-01-014,Jephthah (10:6-12:7),"Jackson, Kent P.",1983,"The Ammonite Language of the Iron Age. Harvard Semitic Monographs, 27;",The Ammonite Language of the Iron Age,Harvard Semitic Monographs (HSM),27,,X,,,표적,book,"HSM 27, Chico, CA: Scholars Press, 1983",B,RESOLVED,bib_sasson 원본과 title_raw(HSM 27 명시) 일치 확인.
F-01-015,Jephthah (10:6-12:7),"Kramer, Phyllis Silverman",1999,“Jephthah’s Daughter: A Thematic Approach to the Narrative as Seen in Selected R,Jephthah's Daughter: A Thematic Approach to the Narrative as Seen in Selected Rabbinic Exegesis and Artwork,"in: Athalya Brenner (ed.), Judges: A Feminist Companion to the Bible (2nd Series)",,67-92,X,,,off-list,book-chapter,"Sheffield: Sheffield Academic Press, 1999, 67-92",A,RESOLVED,WebSearch로 수록서·편자·쪽수 확인.
F-01-016,Jephthah (10:6-12:7),"Landers, Solomon",1991,"“Did Jephthah Kill His Daughter?” Bible Review 7/4: 23-31, 42.",Did Jephthah Kill His Daughter?,Bible Review,7/4,"23-31, 42",X,,,off-list,journal-ref,"Bible Review 7/4 (1991) 23-31, 42",A,RESOLVED,"title_raw 자체에 완전한 서지(권호·쪽수) 포함, bib_sasson과 일치."
F-01-017,Jephthah (10:6-12:7),"Liptzin, Sol",1978,"Liptzin, Sol, Jephthah's Literary Vogue: Dor le Dor 6, 1978, 1.26-136.",Jephthah's Literary Vogue,Dor le Dor,6,"126-136(추정, OCR '1.26-136')",,,X,off-list,journal-ref,Dor le Dor 6 (1978) 126-136(추정),B,RESOLVED,쪽수 OCR 손상('1.26-136')으로 126-136 추정. 수령시 확인 필요.
F-01-018,Jephthah (10:6-12:7),"MacDonald, Burton",1999,"- Ammonite Territory and Sites, in: B. MacDonald/R. W. Younker (Hg.), Ancient Am",Ammonite Territory and Sites,"in: B. MacDonald/R.W. Younker (eds.), Ancient Ammon",,,,,X,off-list,book-chapter,"Leiden: Brill, 1999",B,RESOLVED,"저자정정: xlsx/Groß원본 'Lohfink 1934'(정렬밀림, 명백한 오류 — Lohfink는 1934년생 이전이며 1999년 편저에 실린 저자일 수 없음)→MacDonald, Burton(WebSearch로 해당 챕터의 실제 저자가 편저자 중 한 명인 MacDonald 자신임을 확인). 쪽수 미확인."
F-01-019,Jephthah (10:6-12:7),"MacDonald, Burton / Younker, Randall W. (eds.)",1999,Ancient Ammon. Studies in the History and Culture of the Ancient Near,Ancient Ammon,Studies in the History and Culture of the Ancient Near East (SHCANE),17,,X,,,off-list,book,"SHCANE 17, Leiden: Brill, 1999",A,RESOLVED,"title_raw과 bib_sasson 일치, WebSearch(Brill/Amazon)로 시리즈·권호 확인."
F-01-020,Jephthah (10:6-12:7),"Marcus, David",1989,“The Bargaining Between Jephthah and the Elders (Judges 11:4—11).” Journal,The Bargaining Between Jephthah and the Elders (Judges 11:4-11),Journal of the Ancient Near Eastern Society (JANES),19,95-100,X,,,off-list,journal-ref,JANES 19 (1989) 95-100,A,RESOLVED,"WebSearch(janes.scholasticahq.com)로 권·쪽수 확인, title_raw의 'Journal'은 JANES 약칭 절단."
F-01-021,Jephthah (10:6-12:7),"Mehlman, Israel",1997,"Mehlman, Israel, Jephthah's Daughter: JBQ 2.5,1997, 73-78.",Jephthah's Daughter,Jewish Bible Quarterly (JBQ),25,73-78,,,X,off-list,journal-ref,JBQ 25 (1997) 73-78,B,RESOLVED,title_raw에 완전 서지 포함('2.5'는 권 25의 OCR 손상으로 추정).
F-01-022,Jephthah (10:6-12:7),"Ottosson, Magnus",1969,"Ottosson, Magnus, Gilead. Tradition and History (CB.OT 3), Lund 1969.",Gilead: Tradition and History,"Coniectanea Biblica: Old Testament Series (ConBOT, 원문표기 CB.OT)",3,,,,X,표적,book,"ConBOT 3, Lund: Gleerup, 1969",B,RESOLVED,"title_raw에 완전 서지 포함, bib(Groß) 원본과 일치."
F-01-023,Jephthah (10:6-12:7),"Penna, Angelo",1961,"- The Vow of Jephtah in the Interpretation of St. Jerome, in: f. L. Cross (Hg.),",The Vow of Jephtah in the Interpretation of St. Jerome,"in: F.L. Cross (ed.), Studia Patristica(추정)",,,,,X,off-list,book-chapter,"1961 (편자 Cross 확인, 총서명 미확정)",C,RESOLVED,편자 F.L. Cross는 bib 원본과 일치하나 정확한 총서·권호는 WebSearch로 확정 실패(Studia Patristica 추정). 수령시 확인 필요.
F-01-024,Jephthah (10:6-12:7),"Rendsburg, Gary A.",1988,“The Ammonite Phoneme /T/.” Bulletin of the American Schools of Oriental,The Ammonite Phoneme /Ṭ/,Bulletin of the American Schools of Oriental Research (BASOR),269,73-79,X,,X,표적,journal-ref,BASOR 269 (1988) 73-79,A,RESOLVED,WebSearch(jewishstudies.rutgers.edu PDF)로 권·쪽수 확인. Sasson·Groß 양쪽에 모두 등재된 항목.
F-01-025,Jephthah (10:6-12:7),"Richter, Wolfgang",1966,"- Die Oberlieferungen um Jephtah, Ri 10, 17-n, 6: Bib. 47, 1966, 485-556.","Die Überlieferungen um Jephtah (Ri 10,17-12,6)",Biblica,47,485-556,,,X,통독,journal-ref,Bib. 47 (1966) 485-556,A,RESOLVED,"title_raw에 완전 서지 포함, WebSearch(JSTOR)로 재확인. 저자·연도 변경 없음(원본 정확)."
F-01-026,Jephthah (10:6-12:7),"Robinson, Bernard P.",2004,"Robinson, Btrnard P., The Story of Jephthah and his Daughter. Then and Now: Bib.",The Story of Jephthah and his Daughter: Then and Now,Biblica,85,331-348,,,X,통독,journal-ref,Bib. 85 (2004) 331-348,A,RESOLVED,저자명 OCR정정 'Btrnard'→'Bernard'. WebSearch(bsw.org)로 권·쪽수 확인.
F-01-027,Jephthah (10:6-12:7),"Römer, Thomas C.",1998,- Why would the Deuteronomists tel1 about the Sacrificeof Jephthah's daughter?:J,Why Would the Deuteronomists Tell About the Sacrifice of Jephthah's Daughter?,Journal for the Study of the Old Testament (JSOT),77,27-38,,,X,통독,journal-ref,JSOT 77 (1998) 27-38 (DOI 10.1177/030908929802307703),A,RESOLVED,"연도정정: xlsx/Groß원본 '1995'→'1998'(WebSearch로 JSOT 77(1998) 확인, sagepub DOI 확보). bib_sasson도 1998로 일치."
F-01-028,Jephthah (10:6-12:7),"Rottzoll, Alexandra / Rottzoll, Dirk U.",2003,"Rottzoll, Alexandra/Rottzoll, Dirk U., Die Erzählung von Jiftach und seiner Toch","Die Erzählung von Jiftach und seiner Tochter (Jdc 11,30-40) in der mittelalterlich-jüdischen und historisch-kritischen Bibelexegese",Zeitschrift für die alttestamentliche Wissenschaft (ZAW),115/2,210-230,,,X,통독,DOI,10.1515/zatw.2003.012,A,RESOLVED,WebSearch(De Gruyter/DeepDyve)로 DOI·권·쪽수 확인.
F-01-029,Jephthah (10:6-12:7),"Shemesh, Yael",2011,“Jephthah—Victimizer and Victim: A Comparison of Jephthah and Characters in Gene,Jephthah-Victimizer and Victim: A Comparison of Jephthah and Characters in Genesis,Journal of the Ancient Near Eastern Society (JANES),32,112-131,X,,,off-list,journal-ref,JANES 32 (2011) 112-131,B,RESOLVED,WebSearch(janes.scholasticahq.com)로 권·쪽수 확인(페이지 표기 112-131/117 등 자료간 약간의 차이 있어 수령시 확인 권장).
F-01-030,Jephthah (10:6-12:7),"Sumner, W.A.",1968,"“Israel’s Encounters with Edom, Moab, Ammon, Sihon, and Og According","Israel's Encounters with Edom, Moab, Ammon, Sihon, and Og According to the Deuteronomist",Vetus Testamentum (VT),18,216-228,X,,,통독,journal-ref,VT 18 (1968) 216-228,A,RESOLVED,WebSearch(Brill)로 권·쪽수 확인.
F-01-031,Jephthah (10:6-12:7),"Sypherd, Wilbur Owen",1948,"Syphtrd, Wilbur Owen, Jephthah and his Daughter. A Study in Comparative Uteratur",Jephthah and His Daughter: A Study in Comparative Literature,,,,,,X,off-list,book,"Newark: University of Delaware Press, 1948",B,RESOLVED,"저자명 OCR정정 'Syphtrd'→'Sypherd', 제목 'Uteratur'→'Literature'. WebSearch로 출판사 확인."
F-01-032,Jephthah (10:6-12:7),"Valler, Shulamit",1999,"Valltr, Shulamit, The Story of Jephthah's Daughter in the Midrash, in: A. Brenne",The Story of Jephthah's Daughter in the Midrash,"in: Athalya Brenner (ed.), Judges: A Feminist Companion to the Bible (2nd Series)",,,,,X,off-list,book-chapter,"Sheffield: Sheffield Academic Press, 1999",B,RESOLVED,"저자명 OCR정정 'Valltr'→'Valler'. WebSearch로 수록서 확인, 쪽수 미확인."
F-01-033,Jephthah (10:6-12:7),"Willis, Timothy M.",1997,“The Nature of Jephthah’s Authority.” Catholic Biblical Quarterly 59: 33-44.,The Nature of Jephthah's Authority,Catholic Biblical Quarterly (CBQ),59,33-44,X,,,통독,journal-ref,CBQ 59 (1997) 33-44,A,RESOLVED,"title_raw에 완전 서지 포함, bib_sasson과 일치."
F-01-034,Jephthah (10:6-12:7),"Wüst, Manfred",1975,"- Die Einschaltung in die Jiftachgeschichte, Ri n, 13-26: Bib. 56, '1975,464-479","Die Einschaltung in die Jiftachgeschichte (Ri 11,13-26)",Biblica,56,464-479,,,X,통독,journal-ref,Bib. 56 (1975) 464-479,B,RESOLVED,"title_raw에 완전 서지 포함(저자명은 Groß bib 표기 'Wüst'를 신뢰, 지리학자 Manfred Wüst로 추정)."
F-01-035,Jephthah (10:6-12:7),"Younker, Randall W.",1999,"Younker, Randall W., The Emergence of the Ammonites, in: B. MacDonald/R. W. Youn",The Emergence of the Ammonites,"in: B. MacDonald/R.W. Younker (eds.), Ancient Ammon",,189-218,,,X,off-list,book-chapter,"Leiden: Brill, 1999, 189-218",A,RESOLVED,WebSearch로 쪽수(189-218) 확인.
